1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
1	1	2	2	2	16	16	16	16	2
0.028	1	0.99765	0.056	1.0008	0.39134	3.9843	0.28013	4.0094	4
0.014	1	0.99941	0.028	1.0002	0.19592	3.9961	0.14002	4.0024	4
0.03	1	0.9973	0.06	1.0009	0.41919	3.982	0.30016	4.0108	4
0.012	1	0.99957	0.024	1.0001	0.16795	3.9971	0.12001	4.0017	4
0.036	1	0.99611	0.072	1.0013	0.5026	3.9741	0.36028	4.0156	4
0.06	1	0.9892	0.12	1.0036	0.83352	3.928	0.6013	4.0432	4
0.032	1	0.99693	0.064	1.001	0.44702	3.9795	0.3202	4.0123	4
0.012	1	0.99957	0.024	1.0001	0.16795	3.9971	0.12001	4.0017	4
0.006	1	0.99989	0.012	1	0.083994	3.9993	0.060001	4.0004	4
0.024	1	0.99827	0.048	1.0006	0.33559	3.9885	0.24008	4.0069	4
0.021099	1.0171	0.663	0.03066	0.67168	0.14714	1.9711	0.14892	2.0016	16
0.013912	1.0495	0.61285	0.016442	0.66071	0.045412	1.7082	0.064476	1.8867	16
0.021317	1.0024	0.69834	0.038786	0.67184	0.23983	2.1289	0.15608	2.0292	16
0.023859	0.99761	0.71298	0.046602	0.67128	0.26676	2.1954	0.20186	2.035	16
0.0044202	1.0288	0.63826	0.0081627	0.6696	0.041088	1.85	0.038623	1.97	16
0.052147	1.0089	0.68561	0.084548	0.67118	0.46965	2.0572	0.3444	2.0223	16
0.034366	0.98193	0.70432	0.059534	0.68746	0.34169	2.2191	0.25026	2.1631	16
0.017656	0.99285	0.70091	0.023527	0.67925	0.14345	2.1756	0.0941	2.0886	16
0.024567	1.0391	0.62035	0.027363	0.66696	0.15285	1.7616	0.091	1.9387	16
0.044445	0.99364	0.70537	0.069141	0.67725	0.39571	2.1795	0.28003	2.0811	16
0.021043	1.0038	0.55984	0.014231	0.62989	0.093495	1.618	0.039411	1.8342	64
0.031807	0.97312	0.63655	0.080268	0.63407	0.42993	1.9316	0.36074	1.9339	64
0.036242	1.0046	0.63708	0.05113	0.60742	0.18233	1.8212	0.22259	1.7383	64
0.055675	1.0125	0.63073	0.0588	0.60596	0.40989	1.7879	0.22324	1.7171	64
0.034012	1.0264	0.58536	0.044298	0.60303	0.16684	1.5991	0.18017	1.6752	64
0.032988	0.98241	0.62019	0.071302	0.64203	0.39285	1.8712	0.31619	1.9633	64
0.017808	0.98039	0.64402	0.023366	0.62176	0.10841	1.9286	0.08603	1.8453	64
0.023079	1.009	0.60504	0.030007	0.62423	0.12733	1.7329	0.13761	1.8214	64
0.030033	0.99019	0.63612	0.051038	0.62892	0.28703	1.9086	0.22224	1.8651	64
0.04345	0.99943	0.59835	0.073968	0.62902	0.31797	1.7313	0.3308	1.8717	64
